product_name,product_price,Rate,Review,Summary,Sentiment
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",3999,5,super!,great cooler excellent air flow and for this price its so amazing and unbelievablejust love it,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,5,brilliant,good quality product and worthy,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,4,very good,nice product but some scratch are on the table rest table is best,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,5,must buy!,if you are looking for foldable basic table with a huge workstation space then you go with this blindly as good quality build and at this price a proper table,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,4,worth the money,value for money,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,2,moderate,it took 12 days to arrive and one side the wodden starp was just came off they havent put up the glue enough and the edges got chipped offi glued the strap back that was hanging,1
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,4,pretty good,delivery was too fast product is too good and easy to use but some little bit scratches on the table and some scratches are trying to hide by color its very easily able to see no i dont want exchange its fine,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,4,good quality product,great products,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,5,highly recommended,good product price is reasonable,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,5,great product,nice product,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,4,nice product,it is a good product useful very big beneficial for studyto eat and keeping things i got a replacement after a defective piece been received but flipkart did everything and replaced it awesome service by flipkart,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,5,super!,tq so much very good quality and beautiful product,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,5,excellent,nice,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,5,just wow!,the quality is worth the price no complaints,0
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,4,delightful,super,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,3,nice,leg balance not proper poor quality,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,3,does the job,reasonable price to buy,1
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,4,very good,it has good leg space decent wood material used for more than 1 year now and there is no breakage in table,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,3,just okay,poor finishing,0
